BV_LSTM,seq_len_LSTM,ti_train_LSTM,tf_train_LSTM,ti_test_LSTM,tf_test_LSTM,NSE_train_LSTM,MAE_train_LSTM,NSE_val_LSTM,MAE_val_LSTM,NSE_test_LSTM,MAE_test_LSTM,training_finished_LSTM,epoch_LSTM,loss_fonction_LSTM,training_time_LSTM,nom_LSTM,BV_GR4J,param_final_GR4J,temps_calibration_GR4J,NSE_calibration_GR4J,ti_train_GR4J,tf_train_GR4J,ti_test_GR4J,tf_test_GR4J,NSE_test_GR4J,MAE_test_GR4J,training_finished_GR4J,BV,mean_precip,min_precip,max_precip,mean_ETP,min_ETP,max_ETP,mean_flow_mm,min_flow_mm,max_flow_mm,mean_precipitation,min_precipitation,max_precipitation,mean_evapotranspiration,min_evapotranspiration,max_evapotranspiration,training_time_norm_LSTM,best_MAE_val_LSTM,best_NSE_val_LSTM
A9612010,15,1997-01-15,2004-08-29,2008-06-05,2012-12-31,0.60431826,0.22923693,-1.3081679,0.2511261,-1.1795325,0.28861877,True,100,MAE,36.08668851852417,Loic,A9612010,[ 2.29202050e+03 -2.16326966e-01  2.01561988e+01  1.17314357e+00],0.5292181968688965,0.6644346233877508,1997-01-30,2004-09-05,2008-06-10,2012-12-31,-0.4936799564435692,0.2383253191702443,True,A9612010,,,,,,,0.7138629523468292,0.155,18.57,2.253005133470226,0.0,53.989,1.7889911019849418,0.0,5.468,36.08668851852417,True,False
A9612010,15,1997-01-15,2004-08-29,2008-06-05,2012-12-31,0.7800735,0.23093832,-1.693461,0.2646559,-1.300559,0.29582474,True,113,NSE,41.565879821777344,Loic,A9612010,[ 2.29202050e+03 -2.16326966e-01  2.01561988e+01  1.17314357e+00],0.5292181968688965,0.6644346233877508,1997-01-30,2004-09-05,2008-06-10,2012-12-31,-0.4936799564435692,0.2383253191702443,True,A9612010,,,,,,,0.7138629523468292,0.155,18.57,2.253005133470226,0.0,53.989,1.7889911019849418,0.0,5.468,41.565879821777344,True,False
A9612010,30,1997-01-30,2004-09-05,2008-06-10,2012-12-31,0.63711244,0.18386753,-1.1760066,0.24422228,-1.3404949,0.2773047,True,100,MAE,57.191234827041626,Loic,A9612010,[ 2.29202050e+03 -2.16326966e-01  2.01561988e+01  1.17314357e+00],0.5292181968688965,0.6644346233877508,1997-01-30,2004-09-05,2008-06-10,2012-12-31,-0.4936799564435692,0.2383253191702443,True,A9612010,,,,,,,0.7138629523468292,0.155,18.57,2.253005133470226,0.0,53.989,1.7889911019849418,0.0,5.468,57.191234827041626,False,False
A9612010,30,1997-01-30,2004-09-05,2008-06-10,2012-12-31,0.81434,0.20479792,-1.4320478,0.2478833,-1.8630493,0.30896688,True,112,NSE,59.293967485427856,Loic,A9612010,[ 2.29202050e+03 -2.16326966e-01  2.01561988e+01  1.17314357e+00],0.5292181968688965,0.6644346233877508,1997-01-30,2004-09-05,2008-06-10,2012-12-31,-0.4936799564435692,0.2383253191702443,True,A9612010,,,,,,,0.7138629523468292,0.155,18.57,2.253005133470226,0.0,53.989,1.7889911019849418,0.0,5.468,59.29396748542786,False,False
B2130010,7,1997-01-07,2005-01-03,2008-03-16,2012-12-31,0.6751867,0.42857242,0.60179543,0.3969775,0.6705589,0.36004955,True,194,MAE,33.06845736503601,Loic,B2130010,[259.82283632  -1.71817683  79.83803341   3.6036036 ],0.4126038551330566,0.462525898560871,1997-01-30,2005-01-15,2008-03-23,2012-12-31,0.9129083320284486,0.177736684749355,True,B2130010,,,,,,,0.8557193222659593,0.012,16.989,2.602261464750171,0.0,66.165,1.7588328199863106,0.0,5.336,33.06845736503601,True,False
B2130010,7,1997-01-07,2005-01-03,2008-03-16,2012-12-31,0.7486322,0.43061435,0.6108357,0.4050434,0.59734833,0.40883154,True,191,NSE,33.09137487411499,Loic,B2130010,[259.82283632  -1.71817683  79.83803341   3.6036036 ],0.4126038551330566,0.462525898560871,1997-01-30,2005-01-15,2008-03-23,2012-12-31,0.9129083320284486,0.177736684749355,True,B2130010,,,,,,,0.8557193222659593,0.012,16.989,2.602261464750171,0.0,66.165,1.7588328199863106,0.0,5.336,33.09137487411499,True,False
B2130010,15,1997-01-15,2005-01-07,2008-03-19,2012-12-31,0.8555207,0.2645436,0.70854473,0.3385776,0.7183633,0.30783314,True,135,MAE,37.76576256752014,Loic,B2130010,[259.82283632  -1.71817683  79.83803341   3.6036036 ],0.4126038551330566,0.462525898560871,1997-01-30,2005-01-15,2008-03-23,2012-12-31,0.9129083320284486,0.177736684749355,True,B2130010,,,,,,,0.8557193222659593,0.012,16.989,2.602261464750171,0.0,66.165,1.7588328199863106,0.0,5.336,37.76576256752014,False,False
B2130010,15,1997-01-15,2005-01-07,2008-03-19,2012-12-31,0.8946593,0.27588853,0.7203858,0.32996678,0.67951,0.34874627,True,147,NSE,45.135876417160034,Loic,B2130010,[259.82283632  -1.71817683  79.83803341   3.6036036 ],0.4126038551330566,0.462525898560871,1997-01-30,2005-01-15,2008-03-23,2012-12-31,0.9129083320284486,0.177736684749355,True,B2130010,,,,,,,0.8557193222659593,0.012,16.989,2.602261464750171,0.0,66.165,1.7588328199863106,0.0,5.336,45.135876417160034,False,False
B2130010,30,1997-01-30,2005-01-15,2008-03-23,2012-12-31,0.90942883,0.1635331,0.7989195,0.26991305,0.8142063,0.23656394,True,164,MAE,99.96610355377196,Loic,B2130010,[259.82283632  -1.71817683  79.83803341   3.6036036 ],0.4126038551330566,0.462525898560871,1997-01-30,2005-01-15,2008-03-23,2012-12-31,0.9129083320284486,0.177736684749355,True,B2130010,,,,,,,0.8557193222659593,0.012,16.989,2.602261464750171,0.0,66.165,1.7588328199863106,0.0,5.336,99.96610355377196,False,True
B2130010,30,1997-01-30,2005-01-15,2008-03-23,2012-12-31,0.9626796,0.15738824,0.7918426,0.28618655,0.7981286,0.25355074,True,188,NSE,116.79038906097412,Loic,B2130010,[259.82283632  -1.71817683  79.83803341   3.6036036 ],0.4126038551330566,0.462525898560871,1997-01-30,2005-01-15,2008-03-23,2012-12-31,0.9129083320284486,0.177736684749355,True,B2130010,,,,,,,0.8557193222659593,0.012,16.989,2.602261464750171,0.0,66.165,1.7588328199863106,0.0,5.336,116.79038906097412,False,True
