BV,param_final,temps_calibration,NSE_calibration,ti_train,tf_train,ti_test,tf_test,NSE_test,MAE_test,training_finished
H2322010,[239.02900656  -1.46114357  36.48044078   1.56865162],0.4433605670928955,0.38907072158925765,1997-01-30,2005-01-16,2008-03-24,2012-12-31,0.8462830897545995,0.20579247840961082,True
H2342030,[208.51271029  -1.20629991  90.0171313    3.75      ],0.397733211517334,0.22355543986609458,1997-11-06,2005-06-03,2008-06-16,2012-12-31,0.9393644011322541,0.12334922846740902,True
H2513110,[169.08410549 -10.10157157 699.15733951   1.55914107],0.7247979640960693,0.15156083500993,1997-01-30,2004-11-08,2007-12-19,2012-08-19,0.8505458430808424,0.06523039187981165,True
H3322010,[267.73561971  -0.7585837   21.54190268   1.67117117],0.3565044403076172,0.27725479516218243,1997-01-30,2005-01-15,2008-03-24,2012-12-31,0.8247424347441306,0.11146223347053871,True
H5083050,[147.29453491  -1.70290229 122.39047465   2.15216767],0.48186445236206055,0.4503070962133972,1997-01-30,2005-02-27,2008-04-18,2012-12-31,0.9098063125241656,0.17158653180595798,True
H5302010,[383.38085335  -0.85479704  20.45580551   1.376008  ],0.42629241943359375,0.3026446032294214,1997-01-30,2004-08-24,2007-08-29,2012-12-31,0.2359260800992502,0.1861342920444542,True
H5702010,[327.01302438  -1.05538567  26.31133934   1.37837838],0.4563126564025879,0.3148479494225825,1997-01-30,2005-01-15,2008-03-24,2012-12-31,0.4858472863062796,0.17358379443840877,True
H6053010,[ 2.21406416e+02 -1.91145232e-01  3.02652443e+01  1.31006006e+00],0.38482069969177246,0.6710289221604421,1997-01-30,2005-02-20,2008-04-14,2012-12-31,0.8001179783572419,0.3227973221363669,True
H6233020,[2.39846707e+02 1.10221968e-01 3.80918367e+01 1.57357357e+00],0.37781763076782227,0.6677664649209788,1997-01-30,2005-01-14,2008-03-23,2012-12-31,0.8046141748129644,0.2882121440119664,True
H6423010,[669.82238668  -0.94261573  44.33676135   2.13096827],0.48230886459350586,0.15149618019495772,1997-01-30,2005-01-11,2008-03-18,2012-12-31,0.6378297947790443,0.10620813805340493,True
H6513010,[ 2.18072988e+04 -5.11365395e-01  1.33152559e+01  1.26149037e+00],0.5909996032714844,0.1482897568616287,1997-01-30,2005-04-21,2008-05-20,2012-12-31,0.10244017873839595,0.12798516958275957,True
H7423710,[ 2.61756559e+03 -3.47923432e+00  3.14190660e+02  1.83708709e+00],0.4526331424713135,0.07845776999874397,1997-01-30,2004-11-01,2007-12-08,2012-07-31,0.5302100056651664,0.043181091747747646,True
H7813010,[ 1.11911663e+04 -1.54929995e+00  4.91814269e+01  1.19982370e+00],0.7001450061798096,0.09899098004652297,1997-01-30,2004-05-07,2007-04-07,2011-08-16,-3.435646574970563,0.12193045376897922,True
H7843010,[ 6.31068811e+03 -1.99188403e+00  4.07483320e+02  8.31831832e-01],0.4866304397583008,0.1313563283126921,1997-01-30,2005-02-02,2008-04-04,2012-12-31,-7.440048173486785,0.15056118248134054,True
H9021010,[199.25028115  -1.56498278  23.55473842   2.55122179],0.4291493892669678,0.2794534603523603,1997-01-30,2004-12-27,2008-02-17,2012-12-31,0.8224745679105507,0.14188940241402218,True
H9913010,[ 2.81990430e+03 -1.11863505e+01  7.30087645e+02  9.84809155e-01],0.6247012615203857,0.15794368881395648,1997-01-30,2005-01-25,2008-04-16,2012-12-31,-1.4473470945199503,0.16764062914311573,True
I0113010,[ 1.49517719e+03 -8.88105982e-01  5.68263428e+01  1.43693694e+00],0.360623836517334,0.3338568463365301,1997-02-14,2005-01-29,2008-03-29,2012-12-31,0.3819760835864465,0.159138311622509,True
I0211010,[ 2.83557495e+03 -1.11440179e+00  6.94078518e+01  2.29579580e+00],0.40123772621154785,0.14690706940224066,1999-04-22,2006-02-24,2008-12-14,2012-12-31,0.7512057639609991,0.07228154275079501,True
I3121010,[278.66211763  -0.34658863  57.97431108   2.50075075],0.408280611038208,0.2882793451048573,1997-02-20,2005-05-07,2008-06-06,2012-12-31,0.8633054113405607,0.17803169141280142,True
I7102020,[298.86740097   0.39996196  91.83559798   1.2515015 ],0.41197848320007324,0.5324293089487605,1997-03-07,2005-12-02,2008-10-07,2012-12-31,0.9309245573185896,0.30720844401303105,True
I7222020,[186.79280352   0.30452029  96.54410977   2.11036036],0.4101557731628418,0.6002375589514831,1997-01-30,2004-09-20,2008-07-12,2012-12-31,0.9357025630729277,0.27527304173962575,True
J1103010,[314.19066029  -1.84062187  95.58347983   1.57357357],0.3713843822479248,0.3058455858893034,1997-01-30,2005-01-14,2008-03-23,2012-12-31,0.8630005023741651,0.18394506365546126,True
J3024010,[ 9.38565826e+02 -2.36702059e-01  1.64237371e+02  1.04940753e+00],0.5753903388977051,0.4432260776703232,1997-01-30,2005-01-06,2008-03-27,2012-12-31,0.8320121850815962,0.23466943735222864,True
