Lon,Lat,CODE,AREA_SQKM_,AREA_SQK_1,STOR_,NEI_F,DEV90_,DEV00_,DEV06_,DEV12_,DEV90,DEV00,DEV06,DEV12,Y2006,Y2009,Y2012,Y2015,lngth,yr_db,yr_fn,Q_DIS,Qm,Pm,ETPm,Arid
2.639105,46.840301,K5653010,575.01,574.9956281206997,3.64919705755769,2.393126177024482,1.048677414305838,1.064329316011895,1.137371523973496,1.137371523973496,1.048677414305838,1.064329316011895,1.137371523973496,1.137371523973496,0.405437950872702,0.413493659086324,0.41494966921509,0.415499933912584,16.0,1997.0,2012.0,0.995094684006388,0.019957945728541,0.08927015268049,0.081542649063142,0.913436867048896
3.020217,46.250457,K3373010,562.66,562.6434364586603,0.0,4.964093357271095,1.832367682081541,1.910567660754274,1.988767639427008,1.988767639427008,1.757722247893932,1.80570859844311,1.899904027298902,1.899904027298902,0.791263540523997,0.800890935731343,0.830703015972433,0.839300986555629,16.0,1997.0,2012.0,0.946412274697696,0.023718788540537,0.090797126215506,0.079083658652749,0.870992977625032
1.320916,43.083932,O0794010,477.39,477.38068879517425,3.400043668636723,3.227654698242934,0.509017784201596,0.509017784201596,0.632606464316387,0.670311485368357,0.509017784201596,0.509017784201596,0.632606464316387,0.670311485368357,0.257480057648478,0.25949691647674,0.260230929078965,0.264335031505564,16.0,1997.0,2012.0,0.966939025781428,0.030730663232027,0.099500929414606,0.086580929728496,0.87015197287424
4.993155,48.34561,H5083050,461.54,461.49150013139246,0.0,4.869466515323497,0.831997226675911,0.942496858343805,1.224162586124713,1.226329245569181,0.831997226675911,0.83416388612038,1.109329635567881,1.11149629501235,0.660523232029067,0.673990597632767,0.680006621873678,0.682454288269923,16.0,1997.0,2012.0,0.98541951859457,0.038665772506157,0.105818532662195,0.075855164442163,0.716841959819392
3.697766,48.95368,H5302010,442.69,442.6935609254205,0.0,3.444608567208271,0.960039756940523,0.975852176466602,1.011994849669069,1.011994849669069,0.960039756940523,0.975852176466602,1.011994849669069,1.011994849669069,0.375915765809723,0.378330098561159,0.379967363136609,0.38145734618568,16.0,1997.0,2012.0,0.94608430298882,0.018397687605648,0.085893463904966,0.075485370187372,0.878825537908723
5.437705,46.838157,U3415030,438.51,438.56867420385765,0.0,3.35963963963964,1.548425349478917,1.555266698592963,1.584912544753825,1.584912544753825,1.493694556566555,1.493694556566555,1.523340402727418,1.523340402727418,0.876887955754343,0.877462806502603,0.883285115977031,0.885168511451774,16.0,1997.0,2012.0,0.999878793064111,0.041452982124844,0.120888090759803,0.082824365089551,0.685132542832182
4.49332,49.804308,B5572010,367.9,367.90041187576725,0.0,4.05,3.047023647730362,3.25903778200598,3.718401739603153,3.718401739603153,2.98178852949171,3.019842348464257,3.492796955694482,3.492796955694482,1.047776909168204,1.064888396958683,1.077082153190111,1.077493142031437,16.0,1997.0,2012.0,0.997582991101985,0.051214134874938,0.120588376222498,0.070824618561773,0.587325420622599
0.731091,49.701527,G6003010,353.44,353.4356640567141,0.0,2.056132256824299,3.791308284291535,4.142145767315528,4.665572657311,4.869284744228158,3.553644182888185,3.870529651425985,4.393956541421458,4.597668628338615,0.984221027840119,0.984221027840119,1.006633234530847,1.01410283833627,16.0,1997.0,2012.0,0.96847906684919,0.039885229087747,0.112593953315798,0.073212949727641,0.650238729014575
3.567,48.761128,H5702010,349.32,349.3349080710774,0.0,3.287901234567901,1.674682239780144,1.674682239780144,1.769151494331845,1.769151494331845,1.674682239780144,1.674682239780144,1.769151494331845,1.769151494331845,0.517149342163897,0.525077002347283,0.527402530486059,0.541403790004008,16.0,1997.0,2012.0,0.999985740360484,0.019422987651292,0.083750341423066,0.076221577715035,0.910104671215369
-2.169645,47.941441,J8632410,342.93,342.86137940041147,0.0,1.241268382352941,3.464263843933164,3.615898288280407,3.895838800921471,4.111626279415624,3.426355232846353,3.577989677193596,3.790861108681072,4.006648587175225,1.246892004143994,1.301788264282314,1.319599740533679,1.344545373939501,16.0,1997.0,2012.0,0.994246235455168,0.029813573262151,0.095576257361123,0.07708633308379,0.806542706462151
