BV,seq_len,ti_train,tf_train,ti_test,tf_test,NSE_train,MAE_train,NSE_val,MAE_val,NSE_test,MAE_test,training_finished,epoch,loss_fonction,training_time,nom
H5083050,7,1997-01-07,2005-02-15,2008-04-11,2012-12-31,0.8202323,0.3417684,0.5899488,0.42818823,0.41147298,0.4120451,True,329,MAE,87.11571407318115,Loic
H5083050,7,1997-01-07,2005-02-15,2008-04-11,2012-12-31,0.8347234,0.37001142,0.55007386,0.45661834,0.29962426,0.46180755,True,264,NSE,70.28154277801514,Loic
H5083050,15,1997-01-15,2005-02-19,2008-04-14,2012-12-31,0.9059678,0.261849,0.75371855,0.31614563,0.4875484,0.36871073,True,160,MAE,65.35318493843079,Loic
H5083050,15,1997-01-15,2005-02-19,2008-04-14,2012-12-31,0.9153049,0.26710433,0.6882825,0.35381114,0.52302194,0.36375692,True,149,NSE,58.74578523635864,Loic
H5083050,30,1997-01-30,2005-02-27,2008-04-18,2012-12-31,0.9736829,0.13412863,0.8381857,0.25356862,0.7471773,0.27007127,True,189,MAE,123.89255928993224,Loic
H5083050,30,1997-01-30,2005-02-27,2008-04-18,2012-12-31,0.9734337,0.15071268,0.8631639,0.23151952,0.7481021,0.27777317,True,199,NSE,120.4728262424469,Loic
H6233020,7,1997-01-07,2005-01-03,2008-03-16,2012-12-31,0.7591275,0.5003763,0.7300335,0.42366764,0.43015993,0.49697012,True,187,MAE,44.57847785949707,Loic
H6233020,7,1997-01-07,2005-01-03,2008-03-16,2012-12-31,0.7588147,0.54879445,0.7549325,0.43716222,0.52960336,0.504073,True,143,NSE,38.17874383926392,Loic
H6233020,15,1997-01-15,2005-01-07,2008-03-18,2012-12-31,0.8865894,0.30655545,0.7869935,0.35936782,0.493864,0.46533108,True,176,MAE,68.3596761226654,Loic
H6233020,15,1997-01-15,2005-01-07,2008-03-18,2012-12-31,0.8612416,0.41552696,0.73275137,0.42651832,0.44541645,0.52432466,True,138,NSE,53.9343159198761,Loic
H6233020,30,1997-01-30,2005-01-14,2008-03-23,2012-12-31,0.88712204,0.27699044,0.8504735,0.28696632,0.6225014,0.4001382,True,150,MAE,91.551246881485,Loic
H6233020,30,1997-01-30,2005-01-14,2008-03-23,2012-12-31,0.93384916,0.29957876,0.83058316,0.359236,0.5084884,0.47687107,True,132,NSE,71.13274598121643,Loic
