BV,mean_precip,min_precip,max_precip,mean_ETP,min_ETP,max_ETP,mean_flow_mm,min_flow_mm,max_flow_mm,mean_precipitation,min_precipitation,max_precipitation,mean_evapotranspiration,min_evapotranspiration,max_evapotranspiration
A1072010,,,,,,,0.7360678404971519,0.032,17.284,2.521649212867899,0.0,60.446,1.8437313483915125,0.0,5.434
A3301010,,,,,,,0.7271540041067762,0.248,10.2,2.339075290896646,0.0,61.726,1.8292431553730317,0.0,5.551
A7010610,,,,,,,1.3809483230663928,0.179,16.868,2.9634883641341547,0.0,69.408,1.7656067761806982,0.0,5.453
A9612010,,,,,,,0.7138629523468292,0.155,18.57,2.253005133470226,0.0,53.989,1.7889911019849418,0.0,5.468
B2130010,,,,,,,0.8557193222659593,0.012,16.989,2.602261464750171,0.0,66.165,1.7588328199863106,0.0,5.336
B3010010,,,,,,,1.0544990432453119,0.061,9.921,2.56529568788501,0.0,60.037,1.7561796714579054,0.0,5.316
B5572010,,,,,,,1.2287626565985927,0.092,18.975,2.8941266255989047,0.0,48.912,1.699792094455852,0.0,5.298
D0137010,,,,,,,0.8593404511796108,0.081,24.251,2.5413225530458594,0.0,47.945,1.7179628678986996,0.0,5.311
D0137020,,,,,,,1.242914748953975,0.055,20.582,2.5275467145790556,0.0,46.278,1.7242399041752225,0.0,5.298
E1566010,,,,,,,0.5305477634571645,0.217,1.476,2.081330082135524,0.0,73.213,1.7650364476386036,0.0,5.223
E3518510,,,,,,,0.6712662314749471,0.01,8.837,2.5911514373716633,0.0,53.124,1.7096264544832307,0.0,5.042
E4306010,,,,,,,1.3341292183948243,0.099,16.653,2.9027907255304584,0.0,82.698,1.7042652292950036,0.0,5.021
E6456510,,,,,,,0.6269067722075637,0.333,1.959,2.3522231348391514,0.0,60.468,1.7358254620123204,0.0,5.024
G6003010,,,,,,,0.9574877012918069,0.486,3.896,2.7022501711156743,0.0,51.401,1.7571078028747433,0.0,5.133
H1503910,,,,,,,0.30428067139643533,0.0,1.326,2.0082683093771387,0.0,62.65,1.8658170773442848,0.0,5.399
H2001020,,,,,,,2.07892178675338,0.132,29.028,3.5966950718685835,0.0,64.563,1.788343771389459,0.0,5.668
H2322010,,,,,,,0.67277315528163,0.001,22.373,2.42395311430527,0.0,53.887,1.8202014031485283,0.0,5.49
H2342030,,,,,,,0.6651225375022591,0.021,9.149,2.286893394934976,0.0,54.633,1.8706018138261462,0.0,5.583
H2513110,,,,,,,0.48439940413599714,0.108,2.668,1.9971593086926762,0.0,50.398,1.9075424366872005,0.0,5.591
H3322010,,,,,,,0.3559501712328767,0.005,7.361,1.9088738877481175,0.0,40.335,1.9095912046543464,0.0,5.651
H5083050,,,,,,,0.9279489317352788,0.034,7.907,2.5396437371663243,0.0,59.33,1.8205220739219712,0.0,5.524
H5302010,,,,,,,0.44165248868778284,0.112,7.868,2.0614392539356605,0.0,58.35,1.8116463039014377,0.0,5.419
H5702010,,,,,,,0.46621944539541255,0.142,8.516,2.010009069130732,0.0,55.664,1.8293119438740588,0.0,5.452
H6053010,,,,,,,0.9398858083521053,0.022,13.904,2.55155749486653,0.0,52.773,1.7926875427789186,0.0,5.432
H6233020,,,,,,,1.1037485880540818,0.08,19.702,2.5712366529774124,0.0,47.038,1.762165126625599,0.0,5.318
H6423010,,,,,,,0.4057801953058077,0.063,6.679,1.9868206707734428,0.0,72.642,1.803021731690623,0.0,5.405
H6513010,,,,,,,0.5056336931516545,0.145,2.488,1.9748009924709105,0.0,67.805,1.8028258042436687,0.0,5.312
H7423710,,,,,,,0.3531772463513276,0.085,1.407,1.8449803216974672,0.0,78.724,1.7945489390828198,0.0,5.211
H7813010,,,,,,,0.3700607196401799,0.194,1.393,1.9841786447638605,0.0,48.189,1.8511570841889118,0.0,5.317
H7843010,,,,,,,0.5145879613659883,0.265,3.039,2.0359946954140997,0.0,73.698,1.7866218343600273,0.0,5.258
H9021010,,,,,,,0.43687695516162667,0.038,9.704,2.0087092744695414,0.0,47.548,1.8106587953456537,0.0,5.342
H9913010,,,,,,,0.6945512686826555,0.278,3.904,2.6182404175222453,0.0,68.618,1.72861704312115,0.0,5.135
I0113010,,,,,,,0.6785064912584386,0.306,8.989,2.276977412731006,0.0,41.025,1.734315537303217,0.0,5.353
